job_name,first,second,first-second,third
设计-视觉/交互设计-修图师,设计,视觉/交互设计,设计-视觉/交互设计,修图师
生产制造-生产营运-生产设备管理员,生产制造,生产营运,生产制造-生产营运,生产设备管理员
技术-项目管理-需求分析工程师,技术,项目管理,技术-项目管理,需求分析工程师
传媒-采编/写作/出版-校对录入,传媒,采编/写作/出版,传媒-采编/写作/出版,校对录入
运营-运营-社区运营,运营,运营,运营-运营,社区运营
人力/财务/行政-财务-成本会计,人力/财务/行政,财务,人力/财务/行政-财务,成本会计
房地产/建筑-工程管理-建筑施工项目经理,房地产/建筑,工程管理,房地产/建筑-工程管理,建筑施工项目经理
服务业-美容保健-采耳师,服务业,美容保健,服务业-美容保健,采耳师
技术-人工智能-推荐算法,技术,人工智能,技术-人工智能,推荐算法
运营-运营-网站运营,运营,运营,运营-运营,网站运营
服务业-安保/家政/维修-保安,服务业,安保/家政/维修,服务业-安保/家政/维修,保安
服务业-零售-导购,服务业,零售,服务业-零售,导购
技术-硬件开发-系统集成,技术,硬件开发,技术-硬件开发,系统集成
供应链/物流-交通/运输-无人机飞手,供应链/物流,交通/运输,供应链/物流-交通/运输,无人机飞手
技术-人工智能-规控算法,技术,人工智能,技术-人工智能,规控算法
金融-中后台-金融产品经理,金融,中后台,金融-中后台,金融产品经理
供应链/物流-物流-物流/仓储项目经理,供应链/物流,物流,供应链/物流-物流,物流/仓储项目经理
技术-人工智能-自然语言处理算法,技术,人工智能,技术-人工智能,自然语言处理算法
金融-证券/基金/期货-证券交易员,金融,证券/基金/期货,金融-证券/基金/期货,证券交易员
生产制造-技工/普工-木工,生产制造,技工/普工,生产制造-技工/普工,木工
销售-广告/会展销售-会议活动销售,销售,广告/会展销售,销售-广告/会展销售,会议活动销售
人力/财务/行政-财务-财务分析/财务BP,人力/财务/行政,财务,人力/财务/行政-财务,财务分析/财务BP
传媒-影视媒体-后期制作,传媒,影视媒体,传媒-影视媒体,后期制作
市场-公关媒介-广告客户执行,市场,公关媒介,市场-公关媒介,广告客户执行
运营-运营-内容审核,运营,运营,运营-运营,内容审核
其他-其他职位类别-其他职位,其他,其他职位类别,其他-其他职位类别,其他职位
教育培训-特长培训-播音主持教师,教育培训,特长培训,教育培训-特长培训,播音主持教师
运营-运营-车辆运营,运营,运营,运营-运营,车辆运营
设计-非视觉设计-陈列设计,设计,非视觉设计,设计-非视觉设计,陈列设计
教育培训-教师-地理教师,教育培训,教师,教育培训-教师,地理教师
市场-市场/营销-市场营销,市场,市场/营销,市场-市场/营销,市场营销
咨询/翻译/法律-咨询/调研-IT咨询顾问,咨询/翻译/法律,咨询/调研,咨询/翻译/法律-咨询/调研,IT咨询顾问
教育培训-教师-日语教师,教育培训,教师,教育培训-教师,日语教师
咨询/翻译/法律-咨询/调研-心理咨询师,咨询/翻译/法律,咨询/调研,咨询/翻译/法律-咨询/调研,心理咨询师
生产制造-技工/普工-弱电工,生产制造,技工/普工,生产制造-技工/普工,弱电工
供应链/物流-物流-物流运营,供应链/物流,物流,供应链/物流-物流,物流运营
房地产/建筑-工程管理-测绘/测量,房地产/建筑,工程管理,房地产/建筑-工程管理,测绘/测量
旅游-旅游服务-票务员,旅游,旅游服务,旅游-旅游服务,票务员
服务业-安保/家政/维修-安检员,服务业,安保/家政/维修,服务业-安保/家政/维修,安检员
生产制造-技工/普工-钳工,生产制造,技工/普工,生产制造-技工/普工,钳工
生产制造-化工-化妆品研发,生产制造,化工,生产制造-化工,化妆品研发
服务业-餐饮-服务员,服务业,餐饮,服务业-餐饮,服务员
农/林/牧/渔-农业/林业-农业/林业技术员,农/林/牧/渔,农业/林业,农/林/牧/渔-农业/林业,农业/林业技术员
金融-保险-保险理赔,金融,保险,金融-保险,保险理赔
咨询/翻译/法律-律师-事务所律师,咨询/翻译/法律,律师,咨询/翻译/法律-律师,事务所律师
技术-电子/半导体-集成电路IC设计,技术,电子/半导体,技术-电子/半导体,集成电路IC设计
生产制造-汽车制造-汽车设计,生产制造,汽车制造,生产制造-汽车制造,汽车设计
运营-运营-用户运营,运营,运营,运营-运营,用户运营
教育培训-特长培训-乒乓球教练,教育培训,特长培训,教育培训-特长培训,乒乓球教练
服务业-美容保健-养发师,服务业,美容保健,服务业-美容保健,养发师
生产制造-技工/普工-水电工,生产制造,技工/普工,生产制造-技工/普工,水电工
服务业-美容保健-美体师,服务业,美容保健,服务业-美容保健,美体师
服务业-餐饮-烧烤师傅,服务业,餐饮,服务业-餐饮,烧烤师傅
房地产/建筑-工程管理-工程监理,房地产/建筑,工程管理,房地产/建筑-工程管理,工程监理
服务业-餐饮-奶茶店店员,服务业,餐饮,服务业-餐饮,奶茶店店员
医疗健康-医生/医技-眼科医生,医疗健康,医生/医技,医疗健康-医生/医技,眼科医生
人力/财务/行政-财务-财务顾问,人力/财务/行政,财务,人力/财务/行政-财务,财务顾问
教育培训-教师-物理教师,教育培训,教师,教育培训-教师,物理教师
销售-服务业销售-会籍顾问,销售,服务业销售,销售-服务业销售,会籍顾问
房地产/建筑-房地产规划开发-房地产策划,房地产/建筑,房地产规划开发,房地产/建筑-房地产规划开发,房地产策划
教育培训-教师-高中教师,教育培训,教师,教育培训-教师,高中教师
技术-后端开发-Python,技术,后端开发,技术-后端开发,Python
运营-运营-游戏运营,运营,运营,运营-运营,游戏运营
销售-销售-渠道销售,销售,销售,销售-销售,渠道销售
生产制造-技工/普工-机修工,生产制造,技工/普工,生产制造-技工/普工,机修工
服务业-酒店-客房经理,服务业,酒店,服务业-酒店,客房经理
人力/财务/行政-法务-法务专员/助理,人力/财务/行政,法务,人力/财务/行政-法务,法务专员/助理
人力/财务/行政-财务-会计,人力/财务/行政,财务,人力/财务/行政-财务,会计
服务业-美容保健-美发助理/学徒,服务业,美容保健,服务业-美容保健,美发助理/学徒
服务业-零售-卖场经理,服务业,零售,服务业-零售,卖场经理
设计-视觉/交互设计-网页设计师,设计,视觉/交互设计,设计-视觉/交互设计,网页设计师
旅游-旅游服务-导游,旅游,旅游服务,旅游-旅游服务,导游
市场-政府事务-项目申报专员,市场,政府事务,市场-政府事务,项目申报专员
金融-中后台-资产评估,金融,中后台,金融-中后台,资产评估
市场-市场/营销-市场策划,市场,市场/营销,市场-市场/营销,市场策划
服务业-汽车服务-二手车评估师,服务业,汽车服务,服务业-汽车服务,二手车评估师
生产制造-技工/普工-搬运工/装卸工,生产制造,技工/普工,生产制造-技工/普工,搬运工/装卸工
教育培训-教育行政-校长/副校长,教育培训,教育行政,教育培训-教育行政,校长/副校长
技术-前端/移动开发-Cocos,技术,前端/移动开发,技术-前端/移动开发,Cocos
服务业-汽车服务-汽车服务顾问,服务业,汽车服务,服务业-汽车服务,汽车服务顾问
生产制造-机械设计/制造-热设计工程师,生产制造,机械设计/制造,生产制造-机械设计/制造,热设计工程师
生产制造-生产营运-生产计划/物料管理(PMC),生产制造,生产营运,生产制造-生产营运,生产计划/物料管理(PMC)
人力/财务/行政-人力资源-员工关系,人力/财务/行政,人力资源,人力/财务/行政-人力资源,员工关系
技术-后端开发-C/C++,技术,后端开发,技术-后端开发,C/C++
运营-高端运营职位-运营总监,运营,高端运营职位,运营-高端运营职位,运营总监
服务业-酒店-酒店前台,服务业,酒店,服务业-酒店,酒店前台
高级管理-高级管理职位-高级管理职位,高级管理,高级管理职位,高级管理-高级管理职位,高级管理职位
生产制造-生产营运-生产组长/拉长,生产制造,生产营运,生产制造-生产营运,生产组长/拉长
生产制造-技工/普工-氩弧焊工,生产制造,技工/普工,生产制造-技工/普工,氩弧焊工
教育培训-教师-托管老师,教育培训,教师,教育培训-教师,托管老师
服务业-零售-防损员,服务业,零售,服务业-零售,防损员
服务业-汽车服务-洗车工,服务业,汽车服务,服务业-汽车服务,洗车工
医疗健康-生物制药-生物信息工程师,医疗健康,生物制药,医疗健康-生物制药,生物信息工程师
销售-销售行政/商务-商务专员,销售,销售行政/商务,销售-销售行政/商务,商务专员
生产制造-环保-环评工程师,生产制造,环保,生产制造-环保,环评工程师
教育培训-教师-初中教师,教育培训,教师,教育培训-教师,初中教师
采购/贸易-采购-供应商质量工程师,采购/贸易,采购,采购/贸易-采购,供应商质量工程师
供应链/物流-仓储-仓库管理员,供应链/物流,仓储,供应链/物流-仓储,仓库管理员
人力/财务/行政-财务-财务总监/VP,人力/财务/行政,财务,人力/财务/行政-财务,财务总监/VP
教育培训-教育产品研发-课程编辑,教育培训,教育产品研发,教育培训-教育产品研发,课程编辑
农/林/牧/渔-畜牧/渔业-畜牧兽医,农/林/牧/渔,畜牧/渔业,农/林/牧/渔-畜牧/渔业,畜牧兽医
技术-人工智能-算法工程师,技术,人工智能,技术-人工智能,算法工程师
技术-数据-数据架构师,技术,数据,技术-数据,数据架构师
医疗健康-医生/医技-中医,医疗健康,医生/医技,医疗健康-医生/医技,中医
生产制造-技工/普工-学徒工,生产制造,技工/普工,生产制造-技工/普工,学徒工
设计-游戏设计-游戏场景,设计,游戏设计,设计-游戏设计,游戏场景
医疗健康-医生/医技-口腔科医生,医疗健康,医生/医技,医疗健康-医生/医技,口腔科医生
供应链/物流-高端供应链职位-供应链总监,供应链/物流,高端供应链职位,供应链/物流-高端供应链职位,供应链总监
技术-项目管理-实施工程师,技术,项目管理,技术-项目管理,实施工程师
采购/贸易-采购-投标专员,采购/贸易,采购,采购/贸易-采购,投标专员
生产制造-化工-食品/饮料研发,生产制造,化工,生产制造-化工,食品/饮料研发
教育培训-教师-感统训练教师,教育培训,教师,教育培训-教师,感统训练教师
服务业-安保/家政/维修-月嫂,服务业,安保/家政/维修,服务业-安保/家政/维修,月嫂
生产制造-环保-EHS工程师,生产制造,环保,生产制造-环保,EHS工程师
运营-运营-新媒体运营,运营,运营,运营-运营,新媒体运营
医疗健康-药店-执业药师/驻店药师,医疗健康,药店,医疗健康-药店,执业药师/驻店药师
技术-测试-自动化测试,技术,测试,技术-测试,自动化测试
教育培训-特长培训-吉他教师,教育培训,特长培训,教育培训-特长培训,吉他教师
供应链/物流-物流-供应链专员,供应链/物流,物流,供应链/物流-物流,供应链专员
生产制造-技工/普工-包装工,生产制造,技工/普工,生产制造-技工/普工,包装工
供应链/物流-物流-货运代理专员,供应链/物流,物流,供应链/物流-物流,货运代理专员
服务业-美容保健-纹绣师,服务业,美容保健,服务业-美容保健,纹绣师
服务业-餐饮-收银,服务业,餐饮,服务业-餐饮,收银
产品-产品经理-电商产品经理,产品,产品经理,产品-产品经理,电商产品经理
销售-医疗销售-医疗器械销售,销售,医疗销售,销售-医疗销售,医疗器械销售
服务业-零售-店员/营业员,服务业,零售,服务业-零售,店员/营业员
技术-前端/移动开发-Android,技术,前端/移动开发,技术-前端/移动开发,Android
房地产/建筑-工程管理-资料员,房地产/建筑,工程管理,房地产/建筑-工程管理,资料员
生产制造-生产营运-厂务,生产制造,生产营运,生产制造-生产营运,厂务
房地产/建筑-装饰装修-软装设计师,房地产/建筑,装饰装修,房地产/建筑-装饰装修,软装设计师
人力/财务/行政-人力资源-组织发展,人力/财务/行政,人力资源,人力/财务/行政-人力资源,组织发展
服务业-汽车服务-汽车查勘定损,服务业,汽车服务,服务业-汽车服务,汽车查勘定损
教育培训-教育行政-班主任/辅导员,教育培训,教育行政,教育培训-教育行政,班主任/辅导员
供应链/物流-物流-水/空/陆运操作,供应链/物流,物流,供应链/物流-物流,水/空/陆运操作
供应链/物流-交通/运输-驾校教练,供应链/物流,交通/运输,供应链/物流-交通/运输,驾校教练
生产制造-机械设计/制造-夹具工程师,生产制造,机械设计/制造,生产制造-机械设计/制造,夹具工程师
服务业-餐饮-茶艺师,服务业,餐饮,服务业-餐饮,茶艺师
人力/财务/行政-人力资源-薪酬绩效,人力/财务/行政,人力资源,人力/财务/行政-人力资源,薪酬绩效
旅游-旅游服务-讲解员,旅游,旅游服务,旅游-旅游服务,讲解员
医疗健康-医生/医技-验光师,医疗健康,医生/医技,医疗健康-医生/医技,验光师
教育培训-教师-美术教师,教育培训,教师,教育培训-教师,美术教师
教育培训-教师-教师,教育培训,教师,教育培训-教师,教师
咨询/翻译/法律-咨询/调研-婚恋咨询师,咨询/翻译/法律,咨询/调研,咨询/翻译/法律-咨询/调研,婚恋咨询师
生产制造-新能源-线束设计,生产制造,新能源,生产制造-新能源,线束设计
农/林/牧/渔-畜牧/渔业-饲养员,农/林/牧/渔,畜牧/渔业,农/林/牧/渔-畜牧/渔业,饲养员
生产制造-环保-环保工程师,生产制造,环保,生产制造-环保,环保工程师
销售-医疗销售-医药代表,销售,医疗销售,销售-医疗销售,医药代表
运营-编辑-网站编辑,运营,编辑,运营-编辑,网站编辑
金融-中后台-合规稽查,金融,中后台,金融-中后台,合规稽查
咨询/翻译/法律-咨询/调研-市场调研,咨询/翻译/法律,咨询/调研,咨询/翻译/法律-咨询/调研,市场调研
传媒-影视媒体-摄影/摄像师,传媒,影视媒体,传媒-影视媒体,摄影/摄像师
销售-销售-销售工程师,销售,销售,销售-销售,销售工程师
技术-项目管理-实施顾问,技术,项目管理,技术-项目管理,实施顾问
教育培训-教师-体育教师/体育教练,教育培训,教师,教育培训-教师,体育教师/体育教练
人力/财务/行政-行政-前台,人力/财务/行政,行政,人力/财务/行政-行政,前台
人力/财务/行政-财务-总账会计,人力/财务/行政,财务,人力/财务/行政-财务,总账会计
生产制造-汽车制造-汽车电子工程师,生产制造,汽车制造,生产制造-汽车制造,汽车电子工程师
服务业-餐饮-厨师,服务业,餐饮,服务业-餐饮,厨师
生产制造-质量安全-汽车质量工程师,生产制造,质量安全,生产制造-质量安全,汽车质量工程师
技术-硬件开发-DSP开发,技术,硬件开发,技术-硬件开发,DSP开发
采购/贸易-采购-商品经理,采购/贸易,采购,采购/贸易-采购,商品经理
教育培训-教师-幼教,教育培训,教师,教育培训-教师,幼教
医疗健康-医生/医技-检验科医师,医疗健康,医生/医技,医疗健康-医生/医技,检验科医师
房地产/建筑-房地产规划开发-地产项目管理,房地产/建筑,房地产规划开发,房地产/建筑-房地产规划开发,地产项目管理
产品-产品经理-AI产品经理,产品,产品经理,产品-产品经理,AI产品经理
技术-人工智能-深度学习,技术,人工智能,技术-人工智能,深度学习
运营-运营-拼多多运营,运营,运营,运营-运营,拼多多运营
咨询/翻译/法律-律师-律师助理,咨询/翻译/法律,律师,咨询/翻译/法律-律师,律师助理
生产制造-机械设计/制造-机电工程师,生产制造,机械设计/制造,生产制造-机械设计/制造,机电工程师
教育培训-特长培训-表演教师,教育培训,特长培训,教育培训-特长培训,表演教师
生产制造-质量安全-体系审核员,生产制造,质量安全,生产制造-质量安全,体系审核员
服务业-餐饮-行政总厨,服务业,餐饮,服务业-餐饮,行政总厨
高级管理-高级管理职位-副总裁/副总经理/VP,高级管理,高级管理职位,高级管理-高级管理职位,副总裁/副总经理/VP
产品-产品经理-产品专员,产品,产品经理,产品-产品经理,产品专员
教育培训-教师-理科教师,教育培训,教师,教育培训-教师,理科教师
医疗健康-护士/护理-护士,医疗健康,护士/护理,医疗健康-护士/护理,护士
销售-销售-客户代表,销售,销售,销售-销售,客户代表
高级管理-高级管理职位-总助/CEO助理/董事长助理,高级管理,高级管理职位,高级管理-高级管理职位,总助/CEO助理/董事长助理
人力/财务/行政-行政-行政总监,人力/财务/行政,行政,人力/财务/行政-行政,行政总监
技术-前端/移动开发-iOS,技术,前端/移动开发,技术-前端/移动开发,iOS
服务业-安保/家政/维修-育婴师,服务业,安保/家政/维修,服务业-安保/家政/维修,育婴师
采购/贸易-采购-采购总监,采购/贸易,采购,采购/贸易-采购,采购总监
房地产/建筑-房地产规划开发-地产招投标,房地产/建筑,房地产规划开发,房地产/建筑-房地产规划开发,地产招投标
传媒-影视媒体-影视策划,传媒,影视媒体,传媒-影视媒体,影视策划
生产制造-能源/地质-光伏系统工程师,生产制造,能源/地质,生产制造-能源/地质,光伏系统工程师
设计-视觉/交互设计-动画设计,设计,视觉/交互设计,设计-视觉/交互设计,动画设计
房地产/建筑-物业管理-综合维修工,房地产/建筑,物业管理,房地产/建筑-物业管理,综合维修工
技术-电子/半导体-电气设计工程师,技术,电子/半导体,技术-电子/半导体,电气设计工程师
销售-医疗销售-健康顾问,销售,医疗销售,销售-医疗销售,健康顾问
运营-客服-客服经理,运营,客服,运营-客服,客服经理
生产制造-新能源-电机工程师,生产制造,新能源,生产制造-新能源,电机工程师
传媒-影视媒体-游戏主播,传媒,影视媒体,传媒-影视媒体,游戏主播
生产制造-机械设计/制造-注塑工程师,生产制造,机械设计/制造,生产制造-机械设计/制造,注塑工程师
服务业-酒店-客房服务员,服务业,酒店,服务业-酒店,客房服务员
市场-市场/营销-活动策划,市场,市场/营销,市场-市场/营销,活动策划
技术-电子/半导体-电子维修技术员,技术,电子/半导体,技术-电子/半导体,电子维修技术员
运营-运营-线下拓展运营,运营,运营,运营-运营,线下拓展运营
技术-后端开发-PHP,技术,后端开发,技术-后端开发,PHP
技术-电子/半导体-电子工程师,技术,电子/半导体,技术-电子/半导体,电子工程师
设计-视觉/交互设计-美工,设计,视觉/交互设计,设计-视觉/交互设计,美工
教育培训-教师-生物教师,教育培训,教师,教育培训-教师,生物教师
医疗健康-医生/医技-医生助理,医疗健康,医生/医技,医疗健康-医生/医技,医生助理
生产制造-机械设计/制造-机械维修/保养,生产制造,机械设计/制造,生产制造-机械设计/制造,机械维修/保养
市场-会务会展-会议活动执行,市场,会务会展,市场-会务会展,会议活动执行
医疗健康-药店-药店店员,医疗健康,药店,医疗健康-药店,药店店员
医疗健康-医疗器械-医疗器械注册,医疗健康,医疗器械,医疗健康-医疗器械,医疗器械注册
市场-公关媒介-媒介专员,市场,公关媒介,市场-公关媒介,媒介专员
咨询/翻译/法律-翻译-其他语种翻译,咨询/翻译/法律,翻译,咨询/翻译/法律-翻译,其他语种翻译
人力/财务/行政-行政-后勤,人力/财务/行政,行政,人力/财务/行政-行政,后勤
生产制造-技工/普工-普工/操作工,生产制造,技工/普工,生产制造-技工/普工,普工/操作工
房地产/建筑-工程管理-工程预算,房地产/建筑,工程管理,房地产/建筑-工程管理,工程预算
传媒-采编/写作/出版-编辑,传媒,采编/写作/出版,传媒-采编/写作/出版,编辑
采购/贸易-采购-采购经理/主管,采购/贸易,采购,采购/贸易-采购,采购经理/主管
技术-电子/半导体-FAE,技术,电子/半导体,技术-电子/半导体,FAE
技术-高端技术职位-CTO,技术,高端技术职位,技术-高端技术职位,CTO
人力/财务/行政-行政-行政经理/主管,人力/财务/行政,行政,人力/财务/行政-行政,行政经理/主管
教育培训-教育行政-园长/副园长,教育培训,教育行政,教育培训-教育行政,园长/副园长
市场-市场/营销-SEM,市场,市场/营销,市场-市场/营销,SEM
销售-销售行政/商务-客户成功,销售,销售行政/商务,销售-销售行政/商务,客户成功
人力/财务/行政-财务-结算会计,人力/财务/行政,财务,人力/财务/行政-财务,结算会计
旅游-旅游产品开发/策划-旅游产品经理,旅游,旅游产品开发/策划,旅游-旅游产品开发/策划,旅游产品经理
生产制造-化工-实验室技术员,生产制造,化工,生产制造-化工,实验室技术员
医疗健康-医疗器械-医疗器械生产/质量管理,医疗健康,医疗器械,医疗健康-医疗器械,医疗器械生产/质量管理
服务业-酒店-酒店前厅经理,服务业,酒店,服务业-酒店,酒店前厅经理
服务业-餐饮-面点师,服务业,餐饮,服务业-餐饮,面点师
教育培训-教师-语文教师,教育培训,教师,教育培训-教师,语文教师
市场-广告-广告/会展项目经理,市场,广告,市场-广告,广告/会展项目经理
人力/财务/行政-财务-税务外勤会计,人力/财务/行政,财务,人力/财务/行政-财务,税务外勤会计
咨询/翻译/法律-咨询/调研-战略咨询,咨询/翻译/法律,咨询/调研,咨询/翻译/法律-咨询/调研,战略咨询
运营-运营-京东运营,运营,运营,运营-运营,京东运营
运营-高端运营职位-运营经理/主管,运营,高端运营职位,运营-高端运营职位,运营经理/主管
医疗健康-医生/医技-药剂师,医疗健康,医生/医技,医疗健康-医生/医技,药剂师
咨询/翻译/法律-咨询/调研-企业管理咨询,咨询/翻译/法律,咨询/调研,咨询/翻译/法律-咨询/调研,企业管理咨询
生产制造-机械设计/制造-工艺工程师,生产制造,机械设计/制造,生产制造-机械设计/制造,工艺工程师
咨询/翻译/法律-咨询/调研-咨询项目管理,咨询/翻译/法律,咨询/调研,咨询/翻译/法律-咨询/调研,咨询项目管理
房地产/建筑-物业管理-绿化工,房地产/建筑,物业管理,房地产/建筑-物业管理,绿化工
传媒-采编/写作/出版-印刷排版,传媒,采编/写作/出版,传媒-采编/写作/出版,印刷排版
传媒-影视媒体-带货主播,传媒,影视媒体,传媒-影视媒体,带货主播
运营-客服-售后客服,运营,客服,运营-客服,售后客服
市场-高端市场职位-市场总监,市场,高端市场职位,市场-高端市场职位,市场总监
服务业-酒店-民宿管家,服务业,酒店,服务业-酒店,民宿管家
技术-数据-数据仓库,技术,数据,技术-数据,数据仓库
服务业-零售-理货员,服务业,零售,服务业-零售,理货员
市场-市场/营销-市场推广,市场,市场/营销,市场-市场/营销,市场推广
房地产/建筑-建筑/规划设计-暖通工程师,房地产/建筑,建筑/规划设计,房地产/建筑-建筑/规划设计,暖通工程师
传媒-影视媒体-录音/音效,传媒,影视媒体,传媒-影视媒体,录音/音效
销售-金融销售-证券经纪人,销售,金融销售,销售-金融销售,证券经纪人
医疗健康-医生/医技-幼儿园保健医,医疗健康,医生/医技,医疗健康-医生/医技,幼儿园保健医
传媒-影视媒体-视频编辑,传媒,影视媒体,传媒-影视媒体,视频编辑
服务业-美容保健-美睫师,服务业,美容保健,服务业-美容保健,美睫师
运营-客服-客服主管,运营,客服,运营-客服,客服主管
销售-销售-大客户代表,销售,销售,销售-销售,大客户代表
设计-非视觉设计-家居设计,设计,非视觉设计,设计-非视觉设计,家居设计
生产制造-技工/普工-铆工,生产制造,技工/普工,生产制造-技工/普工,铆工
产品-产品经理-硬件产品经理,产品,产品经理,产品-产品经理,硬件产品经理
供应链/物流-仓储-仓库文员,供应链/物流,仓储,供应链/物流-仓储,仓库文员
供应链/物流-物流-物流跟单,供应链/物流,物流,供应链/物流-物流,物流跟单
服务业-餐饮-传菜员,服务业,餐饮,服务业-餐饮,传菜员
服务业-其他服务业职位-网吧网管,服务业,其他服务业职位,服务业-其他服务业职位,网吧网管
服务业-餐饮-餐饮储备店长/干部,服务业,餐饮,服务业-餐饮,餐饮储备店长/干部
金融-银行-柜员,金融,银行,金融-银行,柜员
供应链/物流-交通/运输-运输经理/主管,供应链/物流,交通/运输,供应链/物流-交通/运输,运输经理/主管
传媒-影视媒体-演员/配音/模特,传媒,影视媒体,传媒-影视媒体,演员/配音/模特
生产制造-服装/纺织/皮革-打样/制版,生产制造,服装/纺织/皮革,生产制造-服装/纺织/皮革,打样/制版
服务业-安保/家政/维修-家电维修,服务业,安保/家政/维修,服务业-安保/家政/维修,家电维修
教育培训-特长培训-武术教练,教育培训,特长培训,教育培训-特长培训,武术教练
高级管理-高级管理职位-总裁/总经理/CEO,高级管理,高级管理职位,高级管理-高级管理职位,总裁/总经理/CEO
生产制造-技工/普工-电梯工,生产制造,技工/普工,生产制造-技工/普工,电梯工
市场-政府事务-企业党建,市场,政府事务,市场-政府事务,企业党建
生产制造-生产营运-车间主任,生产制造,生产营运,生产制造-生产营运,车间主任
供应链/物流-物流-物流经理,供应链/物流,物流,供应链/物流-物流,物流经理
教育培训-教师-音乐教师,教育培训,教师,教育培训-教师,音乐教师
供应链/物流-仓储-配/理/拣/发货,供应链/物流,仓储,供应链/物流-仓储,配/理/拣/发货
房地产/建筑-工程管理-施工安全员,房地产/建筑,工程管理,房地产/建筑-工程管理,施工安全员
生产制造-技工/普工-油漆工,生产制造,技工/普工,生产制造-技工/普工,油漆工
医疗健康-医疗器械-试剂研发,医疗健康,医疗器械,医疗健康-医疗器械,试剂研发
教育培训-教师-小学教师,教育培训,教师,教育培训-教师,小学教师
销售-金融销售-信用卡销售,销售,金融销售,销售-金融销售,信用卡销售
生产制造-技工/普工-缝纫工,生产制造,技工/普工,生产制造-技工/普工,缝纫工
销售-销售管理-区域总监,销售,销售管理,销售-销售管理,区域总监
设计-高端设计职位-设计总监,设计,高端设计职位,设计-高端设计职位,设计总监
销售-销售行政/商务-销售助理,销售,销售行政/商务,销售-销售行政/商务,销售助理
销售-服务业销售-珠宝销售,销售,服务业销售,销售-服务业销售,珠宝销售
服务业-安保/家政/维修-消防中控员,服务业,安保/家政/维修,服务业-安保/家政/维修,消防中控员
市场-市场/营销-商务渠道,市场,市场/营销,市场-市场/营销,商务渠道
旅游-旅游产品开发/策划-旅游策划师,旅游,旅游产品开发/策划,旅游-旅游产品开发/策划,旅游策划师
咨询/翻译/法律-律师-法务,咨询/翻译/法律,律师,咨询/翻译/法律-律师,法务
技术-运维/技术支持-运维工程师,技术,运维/技术支持,技术-运维/技术支持,运维工程师
咨询/翻译/法律-翻译-韩语/朝鲜语翻译,咨询/翻译/法律,翻译,咨询/翻译/法律-翻译,韩语/朝鲜语翻译
技术-硬件开发-PCB工艺,技术,硬件开发,技术-硬件开发,PCB工艺
人力/财务/行政-财务-出纳,人力/财务/行政,财务,人力/财务/行政-财务,出纳
旅游-旅游服务-签证专员,旅游,旅游服务,旅游-旅游服务,签证专员
运营-运营-微信运营,运营,运营,运营-运营,微信运营
运营-运营-视频运营,运营,运营,运营-运营,视频运营
技术-硬件开发-单片机,技术,硬件开发,技术-硬件开发,单片机
生产制造-化工-涂料研发,生产制造,化工,生产制造-化工,涂料研发
传媒-影视媒体-化妆/造型/服装,传媒,影视媒体,传媒-影视媒体,化妆/造型/服装
运营-客服-咨询热线/呼叫中心客服,运营,客服,运营-客服,咨询热线/呼叫中心客服
生产制造-化工-化工工程师,生产制造,化工,生产制造-化工,化工工程师
医疗健康-护士/护理-导医,医疗健康,护士/护理,医疗健康-护士/护理,导医
技术-运维/技术支持-DBA,技术,运维/技术支持,技术-运维/技术支持,DBA
金融-证券/基金/期货-卖方分析师,金融,证券/基金/期货,金融-证券/基金/期货,卖方分析师
金融-投融资-投资经理,金融,投融资,金融-投融资,投资经理
生产制造-生产营运-生产文员,生产制造,生产营运,生产制造-生产营运,生产文员
金融-投融资-投资总监/VP,金融,投融资,金融-投融资,投资总监/VP
运营-运营-天猫运营,运营,运营,运营-运营,天猫运营
技术-项目管理-项目专员,技术,项目管理,技术-项目管理,项目专员
教育培训-特长培训-跆拳道教练,教育培训,特长培训,教育培训-特长培训,跆拳道教练
技术-后端开发-全栈工程师,技术,后端开发,技术-后端开发,全栈工程师
医疗健康-医生/医技-皮肤科医生,医疗健康,医生/医技,医疗健康-医生/医技,皮肤科医生
技术-电子/半导体-IC验证工程师,技术,电子/半导体,技术-电子/半导体,IC验证工程师
服务业-餐饮-蛋糕/裱花师,服务业,餐饮,服务业-餐饮,蛋糕/裱花师
传媒-采编/写作/出版-出版发行,传媒,采编/写作/出版,传媒-采编/写作/出版,出版发行
采购/贸易-采购-招标专员,采购/贸易,采购,采购/贸易-采购,招标专员
医疗健康-生物制药-药品生产,医疗健康,生物制药,医疗健康-生物制药,药品生产
服务业-美容保健-按摩师,服务业,美容保健,服务业-美容保健,按摩师
销售-销售行政/商务-商务经理,销售,销售行政/商务,销售-销售行政/商务,商务经理
设计-视觉/交互设计-包装设计,设计,视觉/交互设计,设计-视觉/交互设计,包装设计
医疗健康-临床试验-临床项目经理,医疗健康,临床试验,医疗健康-临床试验,临床项目经理
房地产/建筑-建筑/规划设计-建筑机电工程师,房地产/建筑,建筑/规划设计,房地产/建筑-建筑/规划设计,建筑机电工程师
生产制造-机械设计/制造-冲压工程师,生产制造,机械设计/制造,生产制造-机械设计/制造,冲压工程师
技术-硬件开发-电路设计,技术,硬件开发,技术-硬件开发,电路设计
服务业-酒店-酒店经理,服务业,酒店,服务业-酒店,酒店经理
